"filename", "language", "JavaScript", "Markdown", "CSS", "ASP.NET Razor", "C#", "JSON", "XML", "Properties", "Docker", "HTML", "Vue", "comment", "blank", "total"
"d:\Project2\MyMvcBackend\Server\Data\AppDbContext.cs", "C#", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 7, 10, 73
"d:\Project2\MyMvcBackend\Server\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 6, 7, 28
"d:\Project2\MyMvcBackend\Server\Migrations\20250325144451_InitialCreate.Designer.cs", "C#", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 2, 11, 55
"d:\Project2\MyMvcBackend\Server\Migrations\20250325144451_InitialCreate.cs", "C#", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 3, 4, 37
"d:\Project2\MyMvcBackend\Server\Migrations\20250331091129_AddListeningTestRelationship.Designer.cs", "C#", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 2, 31, 127
"d:\Project2\MyMvcBackend\Server\Migrations\20250331091129_AddListeningTestRelationship.cs", "C#", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 3, 7, 69
"d:\Project2\MyMvcBackend\Server\Migrations\20250402082029_Listening.Designer.cs", "C#", 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 2, 62, 240
"d:\Project2\MyMvcBackend\Server\Migrations\20250402082029_Listening.cs", "C#", 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 3, 29, 212
"d:\Project2\MyMvcBackend\Server\Migrations\20250404150142_ListeningTest.Designer.cs", "C#", 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 2, 64, 246
"d:\Project2\MyMvcBackend\Server\Migrations\20250404150142_ListeningTest.cs", "C#", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 3, 6, 41
"d:\Project2\MyMvcBackend\Server\Migrations\20250407030334_numques.Designer.cs", "C#", 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 2, 64, 246
"d:\Project2\MyMvcBackend\Server\Migrations\20250407030334_numques.cs", "C#", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 6, 40
"d:\Project2\MyMvcBackend\Server\Migrations\20250407031033_imgurl.Designer.cs", "C#", 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 2, 65, 249
"d:\Project2\MyMvcBackend\Server\Migrations\20250407031033_imgurl.cs", "C#", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 4, 29
"d:\Project2\MyMvcBackend\Server\Migrations\20250409081047_listques.Designer.cs", "C#", 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 2, 65, 249
"d:\Project2\MyMvcBackend\Server\Migrations\20250409081047_listques.cs", "C#", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 6, 40
"d:\Project2\MyMvcBackend\Server\Migrations\20250410023724_M0.Designer.cs", "C#", 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 0, 2, 85, 318
"d:\Project2\MyMvcBackend\Server\Migrations\20250410023724_M0.cs", "C#", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 3, 8, 74
"d:\Project2\MyMvcBackend\Server\Migrations\20250410032235_FixRelationship.Designer.cs", "C#", 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 0, 2, 85, 318
"d:\Project2\MyMvcBackend\Server\Migrations\20250410032235_FixRelationship.cs", "C#", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 6, 23
"d:\Project2\MyMvcBackend\Server\Migrations\20250412044517_UserAnswer.Designer.cs", "C#", 0, 0, 0, 0, 264, 0, 0, 0, 0, 0, 0, 2, 97, 363
"d:\Project2\MyMvcBackend\Server\Migrations\20250412044517_UserAnswer.cs", "C#", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 3, 5, 49
"d:\Project2\MyMvcBackend\Server\Migrations\20250419070439_Passage.Designer.cs", "C#", 0, 0, 0, 0, 266, 0, 0, 0, 0, 0, 0, 2, 98, 366
"d:\Project2\MyMvcBackend\Server\Migrations\20250419070439_Passage.cs", "C#", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 4, 29
"d:\Project2\MyMvcBackend\Server\Migrations\20250421140120_numablenull.Designer.cs", "C#", 0, 0, 0, 0, 266, 0, 0, 0, 0, 0, 0, 2, 98, 366
"d:\Project2\MyMvcBackend\Server\Migrations\20250421140120_numablenull.cs", "C#", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 3, 4, 37
"d:\Project2\MyMvcBackend\Server\Migrations\AppDbContextModelSnapshot.cs", "C#", 0, 0, 0, 0, 264, 0, 0, 0, 0, 0, 0, 1, 98, 363
"d:\Project2\MyMvcBackend\Server\Models\ErrorViewModel.cs", "C#", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Project2\MyMvcBackend\Server\Models\ListeningModels\ListeningAnswer.cs", "C#", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 2, 14
"d:\Project2\MyMvcBackend\Server\Models\ListeningModels\ListeningPart.cs", "C#", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 3, 19
"d:\Project2\MyMvcBackend\Server\Models\ListeningModels\ListeningQuestion.cs", "C#", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 4, 16
"d:\Project2\MyMvcBackend\Server\Models\ListeningModels\ListeningRecording.cs", "C#", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 3, 19
"d:\Project2\MyMvcBackend\Server\Models\ListeningModels\ListeningTest.cs", "C#", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 3, 17
"d:\Project2\MyMvcBackend\Server\Models\ServiceModels\LoginModel.cs", "C#", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Project2\MyMvcBackend\Server\Models\User.cs", "C#", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Project2\MyMvcBackend\Server\Models\UserAnswers.cs", "C#", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Project2\MyMvcBackend\Server\Models\UserTestResults.cs", "C#", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 3, 21
"d:\Project2\MyMvcBackend\Server\MyMvcBackend.csproj", "XML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"d:\Project2\MyMvcBackend\Server\Program.cs", "C#", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 3, 10, 72
"d:\Project2\MyMvcBackend\Server\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Project2\MyMvcBackend\Server\Views\Home\Index.cshtml", "ASP.NET Razor", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Project2\MyMvcBackend\Server\Views\Home\Privacy.cshtml", "ASP.NET Razor", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Project2\MyMvcBackend\Server\Views\Shared\Error.cshtml", "ASP.NET Razor", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\Project2\MyMvcBackend\Server\Views\Shared\_Layout.cshtml", "ASP.NET Razor", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 2, 51
"d:\Project2\MyMvcBackend\Server\Views\Shared\_Layout.cshtml.css", "CSS", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 49
"d:\Project2\MyMvcBackend\Server\Views\Shared\_ValidationScriptsPartial.cshtml", "ASP.NET Razor", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\Project2\MyMvcBackend\Server\Views\_ViewImports.cshtml", "ASP.NET Razor", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
